loan_id,customer_id,loan_type,principal_amount,interest_rate,emi_amount,sanction_date,status,dpd_days
L00121,C00208,PERSONAL,500000,8.07,10154.96,2025-12-23,ACTIVE,0
L00122,C00187,GOLD,500000,8.88,10350.08,2026-01-11,ACTIVE,0
L00123,C00201,EDUCATION,1200000,8.43,24579.37,2026-01-13,ACTIVE,0
L00124,C00162,AUTO,500000,10.39,10719.72,2025-12-17,ACTIVE,0
L00125,C00150,PERSONAL,2000000,9.18,41691.65,2025-12-19,ACTIVE,0
L00126,C00192,PERSONAL,300000,9.31,6272.74,2025-12-25,ACTIVE,0
L00127,C00180,HOME,300000,10.33,6422.93,2025-12-12,ACTIVE,0
L00128,C00201,GOLD,1200000,11.45,26361.02,2026-01-11,ACTIVE,0
L00129,C00187,PERSONAL,500000,9.1,10403.46,2025-12-10,ACTIVE,0
L00130,C00211,AUTO,2000000,11.74,44226.57,2026-01-09,ACTIVE,0
L00048,C00083,HOME,200000,9.46,4196.46,2024-02-05,ACTIVE,18
L00054,C00009,GOLD,300000,12.09,6686.99,2023-09-04,ACTIVE,27
L00090,C00025,EDUCATION,500000,12.96,11366.3,2023-11-08,CLOSED,0
L00071,C00163,GOLD,500000,7.94,10123.85,2024-01-21,CLOSED,0
L00117,C00010,EDUCATION,750000,8.4,15351.28,2024-02-18,CLOSED,28
