loan_id,customer_id,loan_type,principal_amount,interest_rate,emi_amount,sanction_date,status,dpd_days
L00001,C00091,GOLD,200000,9.33,4183.78,2023-03-22,ACTIVE,0
L00002,C00095,PERSONAL,200000,11.83,4431.73,2025-04-01,ACTIVE,0
L00003,C00130,EDUCATION,750000,11.35,16438.03,2025-07-10,ACTIVE,0
L00004,C00147,AUTO,500000,11.54,11006.35,2022-12-11,ACTIVE,0
L00005,C00016,EDUCATION,200000,13.08,4558.81,2023-10-30,NPA,52
L00006,C00130,AUTO,200000,8.86,4138.09,2023-04-20,NPA,165
L00007,C00134,GOLD,300000,9.73,6334.33,2024-03-02,ACTIVE,0
L00008,C00199,PERSONAL,1500000,11.48,32973.85,2023-11-17,ACTIVE,0
L00009,C00025,GOLD,1500000,9.9,31796.81,2024-05-04,ACTIVE,0
L00010,C00169,GOLD,300000,9.5,6300.56,2024-12-17,CLOSED,0
L00011,C00080,EDUCATION,300000,11.46,6591.76,2025-04-12,ACTIVE,0
L00012,C00097,PERSONAL,300000,12.03,6677.88,2022-10-20,ACTIVE,0
L00013,C00172,EDUCATION,1000000,9.71,21104.63,2023-09-21,ACTIVE,0
L00014,C00055,PERSONAL,750000,8.44,15365.72,2024-12-25,ACTIVE,0
L00015,C00076,HOME,1000000,12.78,22640.61,2022-10-20,ACTIVE,0
L00016,C00087,GOLD,300000,11.48,6594.77,2024-11-21,ACTIVE,0
L00017,C00178,GOLD,300000,12.41,6735.66,2025-07-05,ACTIVE,0
L00018,C00174,AUTO,750000,11.58,16524.59,2023-03-28,ACTIVE,0
L00019,C00062,PERSONAL,750000,13.78,17365.76,2024-08-31,ACTIVE,0
L00020,C00147,EDUCATION,750000,12.77,16976.63,2023-08-12,ACTIVE,0
L00021,C00108,AUTO,300000,13.01,6827.46,2024-12-23,CLOSED,0
L00022,C00014,EDUCATION,500000,11.16,10911.15,2025-03-06,ACTIVE,0
L00023,C00133,HOME,500000,7.63,10049.89,2024-11-08,ACTIVE,0
L00024,C00132,AUTO,750000,7.69,15096.27,2024-07-05,CLOSED,0
L00025,C00090,HOME,750000,7.4,14992.85,2022-12-09,ACTIVE,0
L00026,C00099,HOME,500000,8.68,10301.7,2023-12-20,CLOSED,0
L00027,C00183,PERSONAL,300000,8.03,6087.23,2024-02-23,CLOSED,0
L00028,C00121,AUTO,1500000,10.52,32255.71,2025-09-22,CLOSED,0
L00029,C00005,PERSONAL,300000,13.26,6865.92,2022-09-05,CLOSED,0
L00030,C00156,GOLD,750000,7.83,15146.35,2024-02-20,ACTIVE,0
L00031,C00032,HOME,300000,10.15,6396.28,2023-03-11,ACTIVE,0
L00032,C00128,GOLD,1000000,7.12,19857.86,2022-11-12,ACTIVE,0
L00033,C00184,AUTO,500000,10.22,10677.73,2023-10-11,ACTIVE,0
L00034,C00107,AUTO,1500000,12.01,33374.25,2022-10-26,NPA,48
L00035,C00135,GOLD,1000000,12.9,22701.91,2022-11-28,ACTIVE,0
L00036,C00100,EDUCATION,200000,11.77,4425.68,2023-08-30,ACTIVE,0
L00037,C00005,PERSONAL,200000,9.59,4209.17,2025-03-04,CLOSED,0
L00038,C00189,PERSONAL,300000,7.33,5987.18,2022-09-10,ACTIVE,0
L00039,C00165,AUTO,1500000,10.48,32225.99,2023-01-26,ACTIVE,0
L00040,C00035,HOME,1500000,12.82,33991.55,2023-03-10,ACTIVE,0
L00041,C00052,HOME,300000,13.64,6924.61,2023-12-26,CLOSED,0
L00042,C00132,EDUCATION,1000000,10.55,21518.68,2025-07-20,CLOSED,0
L00043,C00049,PERSONAL,500000,13.47,11497.2,2025-06-27,CLOSED,0
L00044,C00085,PERSONAL,200000,13.0,4550.61,2023-04-22,CLOSED,0
L00045,C00191,EDUCATION,750000,9.54,15766.06,2024-09-15,ACTIVE,0
L00046,C00128,PERSONAL,1000000,9.0,20758.36,2025-04-16,ACTIVE,0
L00047,C00021,EDUCATION,1000000,14.46,23507.42,2024-09-28,ACTIVE,0
L00048,C00083,HOME,200000,9.46,4196.46,2024-02-05,ACTIVE,0
L00049,C00155,EDUCATION,300000,12.17,6699.13,2023-10-14,ACTIVE,0
L00050,C00187,PERSONAL,1000000,14.49,23523.06,2024-03-19,ACTIVE,0
L00051,C00015,HOME,1500000,11.78,33200.15,2023-09-19,ACTIVE,0
L00052,C00192,AUTO,200000,8.07,4061.98,2023-04-19,ACTIVE,0
L00053,C00018,AUTO,1500000,9.75,31686.37,2023-08-10,CLOSED,0
L00054,C00009,GOLD,300000,12.09,6686.99,2023-09-04,ACTIVE,0
L00055,C00196,HOME,1000000,8.03,20290.75,2023-09-12,ACTIVE,0
L00056,C00167,PERSONAL,300000,14.2,7011.62,2025-08-10,ACTIVE,0
L00057,C00128,GOLD,750000,13.85,17392.92,2025-02-03,ACTIVE,0
L00058,C00067,EDUCATION,300000,14.47,7053.79,2024-02-26,ACTIVE,0
L00059,C00126,AUTO,200000,8.02,4057.19,2025-05-04,ACTIVE,0
L00060,C00183,EDUCATION,200000,13.08,4558.81,2023-12-18,ACTIVE,0
L00061,C00182,HOME,1000000,11.07,21777.35,2024-01-27,CLOSED,0
L00062,C00183,AUTO,500000,10.82,10826.38,2025-01-27,NPA,66
L00063,C00061,EDUCATION,200000,9.71,4220.93,2023-09-08,ACTIVE,0
L00064,C00142,AUTO,1000000,13.63,23076.87,2025-05-21,ACTIVE,0
L00065,C00184,EDUCATION,1000000,10.08,21286.43,2023-06-17,CLOSED,0
L00066,C00019,AUTO,500000,11.82,11076.8,2023-03-26,ACTIVE,0
L00067,C00133,PERSONAL,300000,13.58,6915.32,2022-08-30,ACTIVE,0
L00068,C00047,AUTO,750000,10.77,16220.92,2025-06-11,CLOSED,0
L00069,C00133,AUTO,500000,8.23,10193.32,2023-12-12,CLOSED,0
