txn_id,account_id,timestamp,txn_type,channel,amount,merchant_category,device_info,ip_address,is_flagged
T0002001,A00223,2025-12-16T13:01:00,CREDIT,UPI,128345.01,FUEL,ANDROID 10,10.0.31.226,1
T0002002,A00167,2025-12-17T05:26:00,DEBIT,BRANCH,31027.28,FUEL,iOS 17,10.0.105.98,0
T0002003,A00201,2025-12-16T18:32:00,CREDIT,UPI,32594.09,TRAVEL,ANDROID 12,10.0.205.146,0
T0002004,A00181,2025-12-16T23:16:00,CREDIT,NETBANKING,119781.95,GROCERY,iOS 16,10.0.164.250,1
T0002005,A00205,2025-12-16T15:10:00,CREDIT,ATM,67581.9,UTILITIES,ANDROID 10,10.0.197.211,0
T0002006,A00198,2025-12-17T01:20:00,CREDIT,NETBANKING,53592.4,FUEL,ANDROID 10,10.0.126.101,0
T0002007,A00228,2025-12-16T11:54:00,DEBIT,NETBANKING,70756.94,E-COM,ANDROID 14,10.0.81.140,0
T0002008,A00226,2025-12-17T13:47:00,CREDIT,BRANCH,752.66,UTILITIES,ANDROID 12,10.0.42.97,0
T0002009,A00182,2025-12-17T02:30:00,DEBIT,BRANCH,11527.68,FUEL,iOS 17,10.0.165.163,0
T0002010,A00176,2025-12-17T07:51:00,CREDIT,BRANCH,124243.91,GROCERY,iOS 14,10.0.19.49,0
T0002011,A00221,2025-12-17T22:19:00,DEBIT,NETBANKING,73587.72,UTILITIES,ANDROID 9,10.0.249.108,0
T0002012,A00176,2025-12-17T13:49:00,DEBIT,UPI,39531.4,RENT,iOS 17,10.0.59.136,0
T0002013,A00224,2025-12-17T00:41:00,CREDIT,NETBANKING,138988.42,DINING,ANDROID 8,10.0.214.127,1
T0002014,A00201,2025-12-17T02:45:00,DEBIT,NETBANKING,26011.33,RENT,iOS 17,10.0.138.224,0
T0002015,A00190,2025-12-18T12:30:00,CREDIT,UPI,128359.01,UTILITIES,iOS 16,10.0.232.35,1
T0002016,A00212,2025-12-16T17:24:00,CREDIT,ATM,133245.48,GROCERY,iOS 17,10.0.61.202,0
T0002017,A00163,2025-12-18T12:42:00,CREDIT,ATM,116360.17,GROCERY,ANDROID 9,10.0.33.130,0
T0002018,A00213,2025-12-16T23:01:00,CREDIT,BRANCH,97802.34,TRAVEL,iOS 15,10.0.119.55,0
T0002019,A00201,2025-12-17T04:23:00,CREDIT,BRANCH,2137.99,RENT,ANDROID 13,10.0.4.155,0
T0002020,A00151,2025-12-18T03:30:00,DEBIT,ATM,28990.56,DINING,iOS 15,10.0.65.102,0
T0002021,A00167,2025-12-17T08:48:00,CREDIT,NETBANKING,145484.77,RENT,ANDROID 14,10.0.87.221,1
T0002022,A00179,2025-12-16T14:48:00,DEBIT,ATM,67559.03,E-COM,ANDROID 14,10.0.143.17,0
T0002023,A00152,2025-12-16T12:51:00,CREDIT,ATM,15000.73,UTILITIES,ANDROID 10,10.0.122.216,0
T0002024,A00220,2025-12-18T04:54:00,DEBIT,UPI,93226.55,RENT,ANDROID 13,10.0.73.37,0
T0002025,A00185,2025-12-17T22:08:00,CREDIT,UPI,88127.89,HEALTH,ANDROID 11,10.0.130.222,0
T0002026,A00223,2025-12-17T12:46:00,DEBIT,NETBANKING,26659.54,FUEL,iOS 16,10.0.73.48,0
T0002027,A00187,2025-12-16T09:57:00,CREDIT,NETBANKING,25900.08,FUEL,ANDROID 14,10.0.26.10,0
T0002028,A00174,2025-12-17T05:51:00,CREDIT,BRANCH,14927.55,DINING,ANDROID 11,10.0.6.39,0
T0002029,A00219,2025-12-17T12:15:00,CREDIT,NETBANKING,8460.78,E-COM,iOS 14,10.0.171.200,0
T0002030,A00180,2025-12-17T11:41:00,CREDIT,NETBANKING,10558.26,TRAVEL,ANDROID 12,10.0.15.3,0
T0002031,A00193,2025-12-17T16:44:00,CREDIT,ATM,4552.26,FUEL,ANDROID 9,10.0.170.245,0
T0002032,A00222,2025-12-16T09:50:00,DEBIT,BRANCH,32467.37,HEALTH,ANDROID 14,10.0.17.168,0
T0002033,A00207,2025-12-16T20:43:00,DEBIT,UPI,16418.1,DINING,ANDROID 13,10.0.241.227,0
T0002034,A00159,2025-12-18T05:43:00,CREDIT,BRANCH,21423.13,FUEL,ANDROID 14,10.0.129.81,0
T0002035,A00185,2025-12-18T11:45:00,CREDIT,UPI,149819.1,FUEL,ANDROID 12,10.0.35.122,1
T0002036,A00150,2025-12-17T16:02:00,CREDIT,ATM,36769.52,GROCERY,iOS 15,10.0.115.195,0
T0002037,A00188,2025-12-17T05:00:00,DEBIT,NETBANKING,54113.86,FUEL,iOS 14,10.0.73.88,0
T0002038,A00173,2025-12-16T23:39:00,CREDIT,UPI,21330.32,GROCERY,ANDROID 10,10.0.228.205,0
T0002039,A00210,2025-12-16T21:18:00,CREDIT,UPI,31276.21,E-COM,ANDROID 13,10.0.180.81,0
T0002040,A00162,2025-12-17T00:20:00,DEBIT,BRANCH,61375.84,HEALTH,iOS 16,10.0.12.249,0
T0002041,A00167,2025-12-17T03:27:00,CREDIT,ATM,87672.7,TRAVEL,ANDROID 8,10.0.67.28,0
T0002042,A00163,2025-12-18T00:15:00,DEBIT,ATM,143264.64,FUEL,ANDROID 11,10.0.207.194,0
T0002043,A00186,2025-12-18T11:00:00,CREDIT,ATM,71871.48,DINING,iOS 17,10.0.64.55,0
T0002044,A00209,2025-12-17T10:53:00,DEBIT,UPI,75054.97,RENT,ANDROID 10,10.0.12.131,0
T0002045,A00179,2025-12-17T14:55:00,DEBIT,UPI,85804.46,HEALTH,ANDROID 14,10.0.66.22,0
T0002046,A00205,2025-12-17T05:31:00,DEBIT,UPI,60579.41,UTILITIES,ANDROID 13,10.0.65.214,0
