txn_id,account_id,timestamp,txn_type,channel,amount,merchant_category,device_info,ip_address,is_flagged
T0000001,A00021,2025-12-02T20:52:00,CREDIT,ATM,7856.37,FUEL,ANDROID 14,192.168.103.147,0
T0000002,A00138,2025-12-01T19:13:00,DEBIT,ATM,85455.88,HEALTH,ANDROID 9,192.168.250.24,0
T0000003,A00131,2025-12-02T15:24:00,DEBIT,BRANCH,13237.84,DINING,ANDROID 6,192.168.236.173,0
T0000004,A00079,2025-12-03T10:22:00,DEBIT,BRANCH,25483.0,GROCERY,iOS 16,192.168.37.12,0
T0000005,A00109,2025-12-02T08:31:00,DEBIT,UPI,93461.55,FUEL,iOS 15,192.168.16.74,1
T0000006,A00105,2025-12-01T21:17:00,DEBIT,BRANCH,37477.37,DINING,ANDROID 12,192.168.192.21,0
T0000007,A00175,2025-12-03T06:10:00,DEBIT,ATM,11907.39,DINING,ANDROID 9,192.168.1.194,0
T0000008,A00006,2025-12-02T05:22:00,CREDIT,BRANCH,53216.76,UTILITIES,ANDROID 11,192.168.79.71,0
T0000009,A00049,2025-12-03T20:44:00,DEBIT,UPI,80957.34,DINING,iOS 12,192.168.123.53,1
T0000010,A00018,2025-12-01T15:53:00,DEBIT,BRANCH,59798.6,GROCERY,ANDROID 6,192.168.205.113,0
T0000011,A00060,2025-12-02T21:50:00,DEBIT,UPI,14056.55,RENT,ANDROID 11,192.168.164.61,0
T0000012,A00078,2025-12-03T20:49:00,DEBIT,NETBANKING,41385.34,RENT,ANDROID 8,192.168.218.143,0
T0000013,A00127,2025-12-01T12:12:00,CREDIT,BRANCH,78591.17,TRAVEL,iOS 15,192.168.76.77,0
T0000014,A00097,2025-12-01T21:33:00,CREDIT,NETBANKING,84941.63,RENT,iOS 13,192.168.237.235,1
T0000015,A00015,2025-12-02T23:23:00,CREDIT,BRANCH,55750.81,E-COM,ANDROID 10,192.168.104.85,0
T0000016,A00166,2025-12-01T14:23:00,CREDIT,ATM,9291.78,UTILITIES,ANDROID 12,192.168.20.224,0
T0000017,A00019,2025-12-01T21:50:00,DEBIT,BRANCH,20928.46,TRAVEL,ANDROID 6,192.168.108.240,0
T0000018,A00049,2025-12-03T11:37:00,DEBIT,BRANCH,91448.41,UTILITIES,ANDROID 9,192.168.164.199,0
T0000019,A00073,2025-12-02T10:59:00,CREDIT,ATM,30876.81,TRAVEL,ANDROID 13,192.168.238.26,0
T0000020,A00185,2025-12-02T17:03:00,CREDIT,NETBANKING,37101.96,DINING,ANDROID 9,192.168.74.5,0
T0000021,A00067,2025-12-02T22:46:00,CREDIT,ATM,15283.52,TRAVEL,ANDROID 9,192.168.255.141,0
T0000022,A00168,2025-12-03T07:45:00,CREDIT,ATM,76347.89,HEALTH,iOS 17,192.168.251.118,0
T0000023,A00044,2025-12-03T11:01:00,CREDIT,NETBANKING,14038.85,HEALTH,ANDROID 14,192.168.30.135,0
T0000024,A00009,2025-12-03T18:16:00,DEBIT,UPI,76445.67,DINING,ANDROID 9,192.168.34.182,0
T0000025,A00039,2025-12-01T09:37:00,DEBIT,BRANCH,37351.41,HEALTH,iOS 12,192.168.3.137,0
T0000026,A00142,2025-12-02T13:04:00,DEBIT,UPI,52965.29,RENT,ANDROID 10,192.168.8.129,0
T0000027,A00179,2025-12-03T07:00:00,CREDIT,NETBANKING,10746.29,FUEL,ANDROID 9,192.168.98.159,0
T0000028,A00135,2025-12-02T02:13:00,CREDIT,ATM,79503.89,FUEL,ANDROID 12,192.168.235.145,0
T0000029,A00063,2025-12-03T08:35:00,DEBIT,ATM,68419.96,FUEL,iOS 17,192.168.16.24,0
T0000030,A00104,2025-12-02T10:53:00,CREDIT,BRANCH,5658.69,GROCERY,iOS 12,192.168.255.217,0
T0000031,A00112,2025-12-03T05:01:00,CREDIT,UPI,89484.38,GROCERY,ANDROID 13,192.168.138.12,1
T0000032,A00020,2025-12-03T07:43:00,CREDIT,UPI,17976.48,TRAVEL,ANDROID 9,192.168.73.193,0
T0000033,A00183,2025-12-03T17:02:00,CREDIT,UPI,29962.73,UTILITIES,ANDROID 12,192.168.169.99,0
T0000034,A00194,2025-12-03T11:29:00,DEBIT,UPI,50104.25,TRAVEL,ANDROID 12,192.168.118.215,0
T0000035,A00020,2025-12-02T08:15:00,CREDIT,ATM,3011.08,RENT,iOS 15,192.168.251.59,0
